Carregando closes (756d) de 37 tickers...


## BANCOS — 6 tickers, 15 pares

### lookback=252d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
ABCB4-BBAS3        0.8370    0.871      n/a         no         no
ABCB4-BBDC4        0.8926    1.471      n/a         no         no
ABCB4-BPAC11       0.8472    0.550      n/a         no         no
ABCB4-ITUB4        0.7088    0.628      n/a         no         no
ABCB4-SANB11       0.6339    0.797      n/a         no         no
BBAS3-BBDC4        0.9719    1.624      n/a         no         no
BBAS3-BPAC11       0.9528    0.609      n/a         no         no
BBAS3-ITUB4        0.9214    0.699      n/a         no         no
BBAS3-SANB11       0.9553    0.894      n/a         no         no
BBDC4-BPAC11       0.0407    0.373      8.8        YES        YES
BBDC4-ITUB4        0.7390    0.424      n/a         no         no
BBDC4-SANB11       0.8899    0.534      n/a         no         no
BPAC11-ITUB4        0.9175    1.134      n/a         no         no
BPAC11-SANB11       0.7585    1.429      n/a         no         no
ITUB4-SANB11       0.4325    1.264      n/a         no         no

### lookback=504d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
ABCB4-BBAS3        0.5603    0.891      n/a         no         no
ABCB4-BBDC4        0.9158    1.600      n/a         no         no
ABCB4-BPAC11       0.9185    0.608      n/a         no         no
ABCB4-ITUB4        0.9692    0.706      n/a         no         no
ABCB4-SANB11       0.5639    0.824      n/a         no         no
BBAS3-BBDC4        0.9162    1.762      n/a         no         no
BBAS3-BPAC11       0.9917    0.670      n/a         no         no
BBAS3-ITUB4        0.9690    0.782      n/a         no         no
BBAS3-SANB11       0.9022    0.914      n/a         no         no
BBDC4-BPAC11       0.0309    0.379     15.8        YES        YES
BBDC4-ITUB4        0.1194    0.440      n/a         no         no
BBDC4-SANB11       0.7442    0.508      n/a         no         no
BPAC11-ITUB4        0.2685    1.162      n/a         no         no
BPAC11-SANB11       0.8246    1.337      n/a         no         no
ITUB4-SANB11       0.4662    1.147      n/a         no         no

### lookback=756d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
ABCB4-BBAS3        0.1357    0.917      n/a         no         no
ABCB4-BBDC4        0.5402    1.564      n/a         no         no
ABCB4-BPAC11       0.9431    0.631      n/a         no         no
ABCB4-ITUB4        0.9765    0.741      n/a         no         no
ABCB4-SANB11       0.2812    0.803      n/a         no         no
BBAS3-BBDC4        0.4322    1.663      n/a         no         no
BBAS3-BPAC11       0.9776    0.677      n/a         no         no
BBAS3-ITUB4        0.9676    0.798      n/a         no         no
BBAS3-SANB11       0.5341    0.859      n/a         no         no
BBDC4-BPAC11       0.0890    0.401      n/a         no        YES
BBDC4-ITUB4        0.1998    0.470      n/a         no         no
BBDC4-SANB11       0.0937    0.508      n/a         no        YES
BPAC11-ITUB4        0.5447    1.172      n/a         no         no
BPAC11-SANB11       0.8757    1.243      n/a         no         no
ITUB4-SANB11       0.9127    1.056      n/a         no         no

## PETROLEO — 5 tickers, 10 pares

### lookback=252d
PAIR                  P-ADF     BETA       HL  COINT@.05  COINT@.10
PETR3-PETR4        0.2797    1.088      n/a         no         no
PETR3-PRIO3        0.2726    0.886      n/a         no         no
PETR3-RAPT4        0.3884    4.112      n/a         no         no
